age,income,education_years,work_experience,gender,purchased
56,28392,14,13,Male,0
46,50535,10,29,Male,1
32,98603,10,5,Female,0
25,72256,12,5,Female,0
38,109135,11,12,Female,1
56,55222,14,18,Female,1
36,97373,19,21,Male,0
40,99575,15,7,Male,0
28,116354,16,26,Female,0
28,104651,13,26,Male,1
41,83335,16,1,Male,1
53,30965,17,20,Female,1
57,44538,10,29,Male,1
41,90592,15,0,Female,0
20,118018,17,27,Male,1
39,28110,14,14,Female,1
19,99309,13,0,Female,1
41,47266,11,4,Female,1
47,72992,15,27,Female,1
55,102948,15,28,Male,0
19,118806,10,15,Female,0
38,26910,18,18,Female,1
50,110982,15,3,Female,0
29,20206,12,2,Male,1
39,107054,13,16,Female,1
42,107897,13,16,Male,0
44,43419,12,11,Female,0
59,70636,19,27,Male,1
45,70015,12,29,Male,1
33,74268,12,28,Female,1
32,107939,13,13,Male,0
20,38141,16,20,Female,1
54,100356,13,5,Female,1
24,91910,18,2,Female,1
38,76044,10,27,Male,0
26,87214,17,8,Male,1
56,53827,16,4,Female,1
35,75820,11,23,Female,0
21,82623,17,28,Male,1
42,101734,10,16,Female,1
31,95450,18,13,Female,0
26,113426,18,20,Female,1
43,42299,11,2,Male,0
19,63585,16,27,Male,0
37,84044,19,0,Male,1
45,62557,12,19,Female,1
24,69080,16,28,Female,1
25,22693,19,20,Female,1
52,115003,18,22,Male,0
31,115259,13,0,Female,1
34,89163,10,2,Female,0
53,45939,11,17,Female,1
57,68925,10,24,Female,1
21,62941,14,9,Male,1
19,41834,14,21,Male,0
23,38047,16,25,Female,1
59,46105,18,2,Male,1
21,95766,18,7,Male,1
46,35707,12,13,Female,1
35,41976,12,23,Female,0
43,64262,12,17,Male,1
51,43776,13,14,Female,0
27,50080,17,21,Male,0
53,86842,15,22,Female,0
31,81373,17,1,Male,0
48,26776,10,26,Female,0
32,112787,17,9,Male,0
25,75016,13,1,Male,1
31,29474,10,25,Male,0
40,78053,17,16,Female,0
57,41959,13,7,Male,0
38,25530,15,0,Male,1
33,114856,17,8,Female,1
35,23748,13,10,Female,0
41,117504,12,21,Male,1
43,118098,18,15,Male,0
42,33545,12,6,Female,0
58,86199,18,28,Female,1
46,54766,11,9,Female,0
32,93530,11,22,Female,1
18,113557,11,25,Female,1
42,81087,15,2,Male,0
24,115839,12,17,Female,0
26,88840,18,24,Male,1
41,74384,13,23,Male,0
18,71005,10,12,Male,0
25,66576,13,27,Female,0
41,59353,10,25,Male,1
28,82003,14,6,Male,1
34,103211,13,24,Female,0
25,72733,17,3,Male,1
52,85318,17,12,Male,1
52,109474,16,19,Female,1
50,43664,12,0,Male,1
22,87172,10,7,Male,1
59,105616,10,13,Male,0
56,113264,12,15,Female,0
58,46736,15,13,Female,0
45,114209,16,11,Female,1
24,20854,15,18,Male,1
