Student_ID,Age,Gender,Class,Study_Hours_Per_Day,Attendance_Percentage,Parental_Education,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Final_Percentage,Performance_Level,Pass_Fail
0,15,1,12,1.0,65,2,0,0,40,39,72,81,50.33,0,1
1,19,0,9,1.6,58,0,0,1,80,44,35,47,53.0,0,1
2,14,0,12,3.6,64,1,1,1,83,73,59,58,71.67,2,1
3,18,0,9,5.5,68,2,1,0,68,48,77,54,64.33,0,1
4,14,1,10,5.0,80,1,1,0,41,46,36,68,41.0,3,0
5,19,1,12,5.2,82,1,0,1,88,70,46,60,68.0,2,1
6,16,1,12,0.8,78,1,0,0,75,69,64,84,69.33,2,1
7,18,0,11,2.0,81,0,0,1,93,37,48,55,59.33,0,1
8,18,0,11,3.5,61,0,0,0,55,39,83,71,59.0,0,1
9,18,1,10,5.7,97,1,1,0,72,73,73,61,72.67,2,1
10,14,0,9,3.6,88,0,1,0,95,85,69,41,83.0,1,1
11,18,0,9,5.7,74,2,1,0,54,38,59,81,50.33,0,1
12,19,1,10,1.5,64,2,1,1,35,95,37,85,55.67,0,1
13,17,0,10,5.5,76,2,0,1,79,82,100,71,87.0,1,1
14,15,0,10,4.2,60,2,0,1,55,57,80,72,64.0,0,1
15,17,1,12,5.0,67,2,0,0,68,40,81,72,63.0,0,1
16,16,1,10,4.0,66,0,0,1,49,59,96,63,68.0,2,1
17,14,0,9,5.0,89,1,0,1,71,40,59,82,56.67,0,1
18,14,0,12,1.9,100,2,0,0,45,85,74,61,68.0,2,1
19,19,1,11,3.6,66,1,1,1,75,78,59,78,70.67,2,1
20,15,0,10,4.7,65,1,0,1,46,80,70,46,65.33,0,1
21,15,1,12,2.8,83,2,0,1,100,96,99,86,98.33,1,1
22,19,0,12,5.3,72,2,0,0,72,40,63,76,58.33,0,1
23,14,0,10,4.6,54,1,1,0,58,37,79,94,58.0,0,1
24,17,1,10,0.9,98,2,1,0,61,53,38,48,50.67,0,1
25,19,0,9,5.1,78,0,0,0,68,80,69,43,72.33,2,1
26,19,0,12,2.0,75,1,0,0,56,79,52,94,62.33,0,1
27,14,1,12,0.9,91,0,0,1,57,51,35,52,47.67,3,0
28,19,0,12,4.3,87,0,0,0,61,91,49,49,67.0,2,1
29,16,0,11,3.5,69,0,1,1,81,68,42,57,63.67,0,1
30,18,0,9,1.8,85,0,1,1,64,58,93,93,71.67,2,1
31,17,1,12,1.1,78,1,0,0,47,81,87,52,71.67,2,1
32,17,1,10,1.4,58,1,0,1,54,49,75,66,59.33,0,1
33,17,0,11,3.0,94,0,0,0,56,51,45,61,50.67,0,1
34,15,0,12,2.3,79,0,0,1,97,95,53,93,81.67,1,1
35,18,0,10,3.4,87,1,0,0,95,86,35,68,72.0,2,1
36,18,0,10,3.9,54,0,0,1,82,100,71,50,84.33,1,1
37,18,1,11,1.2,63,1,1,1,65,56,73,89,64.67,0,1
38,16,1,11,1.7,97,2,1,1,75,64,94,94,77.67,2,1
